Timestep	J_x	J_y	J_z	Jconv_x	Jconv_y	Jconv_z	Jcond_x	Jcond_y	Jcond_z
156	117.8608367	-6.19376E-05	-2.01925E-05	99.31304454	-6.48027E-05	-2.12947E-05	18.54779219	2.86509E-06	1.10218E-06
157	117.1062268	7.84635E-06	1.88916E-06	95.86350481	8.61176E-06	1.60598E-06	21.24272203	-7.65407E-07	2.83182E-07
158	116.3923024	-1.89896E-05	2.27242E-05	92.31940633	-9.6732E-06	2.14387E-05	24.07289604	-9.3164E-06	1.28555E-06
159	115.6940506	1.42988E-05	4.01043E-05	88.68550629	9.65491E-06	4.17915E-05	27.0085443	4.64393E-06	-1.68722E-06
160	114.983774	-1.80779E-06	5.26301E-05	84.96675045	1.71402E-06	5.44695E-05	30.01702355	-3.52181E-06	-1.83939E-06
161	114.2314696	5.74995E-05	5.8139E-07	81.16841217	4.9938E-05	-3.91767E-06	33.06305746	7.56156E-06	4.49906E-06
162	113.4070069	-1.66869E-05	-3.79677E-05	77.29733459	-1.1842E-05	-3.99524E-05	36.10967233	-4.84491E-06	1.98468E-06
163	112.4781271	-9.3099E-05	-8.1077E-05	73.35954372	-8.53206E-05	-8.36219E-05	39.11858334	-7.77841E-06	2.54492E-06
164	111.4149984	3.87973E-05	-5.61534E-05	69.3635215	4.18943E-05	-5.2094E-05	42.05147686	-3.09699E-06	-4.05941E-06
165	110.1875305	-1.14893E-05	-5.7516E-06	65.31759341	-1.96363E-05	1.87472E-06	44.86993713	8.14703E-06	-7.62632E-06
166	108.7683544	-2.37607E-05	5.40692E-05	61.23110954	-2.65361E-05	5.49004E-05	47.5372449	2.77541E-06	-8.31221E-07
167	107.1320713	4.16616E-05	2.2527E-05	57.11376332	3.42905E-05	3.06588E-05	50.01830799	7.37112E-06	-8.13175E-06
168	105.2589515	5.09381E-05	5.65243E-05	52.97796595	5.17162E-05	6.01287E-05	52.28098554	-7.78096E-07	-3.60439E-06
169	103.1319361	1.95832E-05	5.53438E-06	48.83540948	2.4584E-05	1.01671E-05	54.29652658	-5.00072E-06	-4.6327E-06
170	100.7396676	9.80578E-06	-2.57655E-06	44.69977936	1.07163E-05	-5.40777E-07	56.03988829	-9.10475E-07	-2.03577E-06
171	98.07533308	-3.11176E-05	-1.53263E-06	40.58410081	-3.27098E-05	-5.94429E-06	57.49123227	1.59226E-06	4.41166E-06
172	95.13919923	-4.52142E-05	-4.2655E-06	36.50409877	-4.02697E-05	-2.15325E-06	58.63510046	-4.94449E-06	-2.11225E-06
173	91.93726897	-3.13284E-05	1.45309E-06	32.47550757	-3.3055E-05	1.77448E-06	59.46176141	1.72663E-06	-3.21388E-07
174	88.48095923	-2.99753E-05	-4.92804E-05	28.51376703	-3.17211E-05	-5.02132E-05	59.9671922	1.74581E-06	9.32824E-07
175	84.78962565	9.47823E-05	1.31823E-05	24.63723135	9.84871E-05	1.35359E-05	60.1523943	-3.70476E-06	-3.53625E-07
176	80.88687156	2.55346E-05	-3.22836E-06	20.8624191	2.94856E-05	8.88072E-06	60.02445246	-3.95092E-06	-1.21091E-05
177	76.80345733	5.28811E-05	3.90094E-06	17.20825987	4.73654E-05	-1.81203E-07	59.59519746	5.5157E-06	4.08214E-06
